Crop_Year,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Fertilizer_per_Area,Pesticide_per_Area,Production_per_Area,Season_Autumn,Season_Kharif,Season_Rabi,Season_Summer,Season_Whole Year,Season_Winter,State_Andhra Pradesh,State_Arunachal Pradesh,State_Assam,State_Bihar,State_Chhattisgarh,State_Delhi,State_Goa,State_Gujarat,State_Haryana,State_Himachal Pradesh,State_Jammu and Kashmir,State_Jharkhand,State_Karnataka,State_Kerala,State_Madhya Pradesh,State_Maharashtra,State_Manipur,State_Meghalaya,State_Mizoram,State_Nagaland,State_Odisha,State_Puducherry,State_Punjab,State_Sikkim,State_Tamil Nadu,State_Telangana,State_Tripura,State_Uttar Pradesh,State_Uttarakhand,State_West Bengal,Crop_Year_scaled,Area_scaled,Production_scaled,Annual_Rainfall_scaled,Fertilizer_scaled,Pesticide_scaled,Fertilizer_per_Area_scaled,Pesticide_per_Area_scaled,Production_per_Area_scaled,Yield
1997,2382500.0,5218300,927.5,226742525.0,738575.0,95.17,0.31,2.1902623294858343,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8179459552641317,1.2045745413681206,1.120464986199064,-0.7901929803933618,0.6526074847734646,1.404954471443017,-1.5677473870138448,0.5111948015174167,-0.15446491445922578,1.99173913
1997,1117700.0,3291700,927.5,106371509.0,346487.0,95.17,0.31,2.9450657600429455,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8179459552641317,0.22409610873419444,0.47721210449261386,-0.7901929803933618,-0.027799358266311296,0.33488628311463575,-1.5677473870138448,0.5111948015174167,0.7552729224187994,2.64
1997,120020.0,129505,2274.9,11422303.4,37206.2,95.17,0.31,1.0790284952507916,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8179459552641317,-0.5493097441043693,-0.5785810265505339,0.6465077002090821,-0.5645073746830757,-0.5091883770146016,-1.5677473870138448,0.5111948015174167,-1.493795690786654,1.06
1997,607358.0,398311,2051.4,57802260.86,188280.98,95.17,0.31,0.6558092591190039,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8179459552641317,-0.17152321785282576,-0.48883212479615623,0.4081949481572444,-0.30234093724370326,-0.09688216989602419,-1.5677473870138448,0.5111948015174167,-2.0038868440813937,0.780869565
1997,174974.0,209623,2051.4,16652275.58,54241.94,95.17,0.31,1.1980237063792334,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8179459552641317,-0.5067091655251752,-0.5518312422795086,0.4081949481572444,-0.5349445365644737,-0.462695234050182,-1.5677473870138448,0.5111948015174167,-1.350374978070853,1.060434783
1997,1743321.0,1647296,2051.4,165911859.6,540429.51,95.17000001720854,0.31,0.9449183483707246,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8179459552641317,0.7090802149192589,-0.07182122452722091,0.4081949481572444,0.3087572591940533,0.8641850892896755,-1.5677473863589169,0.5111948015174167,-1.6554339001360947,0.941304348
1997,749671.0,892725,1303.7,71346189.07,232398.01,95.16999999999999,0.31,1.1908223740814303,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8179459552641317,-0.06120156448199089,-0.323757262211285,-0.38905983801348987,-0.22578279441201476,0.023519960152660908,-1.5677473870138452,0.5111948015174167,-1.3590544887911575,1.102244898
1997,124429.0,236446,1303.7,11841907.93,38572.99,95.17,0.31,1.9002483343915004,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8179459552641317,-0.545891868227169,-0.5428755835823156,-0.38905983801348987,-0.5621355263505629,-0.5054581978223658,-1.5677473870138448,0.5111948015174167,-0.5040085093614626,1.683265306
1997,4238204.0,6004120,1303.7,403349874.7,1313843.24,95.17000000471897,0.31,1.4166661161189975,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8179459552641317,2.6431243115709253,1.3828344347107233,-0.38905983801348987,1.6508947241783285,2.9749495832027657,-1.5677473868342486,0.5111948015174167,-1.0868530267468628,1.354363636
1997,15169.0,40864,3680.3,1443633.73,4702.39,95.17,0.31,2.6939152218340037,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8179459552641317,-0.6305906929817411,-0.6081764686180837,2.145052405952495,-0.6209126070514845,-0.5978962514725547,-1.5677473870138448,0.5111948015174167,0.45257007541091626,2.69
